Symbol,Name,Sector,Sector Ticker,Sector ETF Ticker,,,,,,
MTD,Mettler Toledo,Health Care,^SP500-35,IYH,,- 'MTD',,,,
MU,Micron Technology,Information Technology,^SP500-45,IYW,,- 'MU',,,,
MU,"Micron Technology, Inc.",Information Technology,^SP500-45,IYW,,- 'MU',,,,
MXIM,Maxim Integrated Products,Information Technology,^SP500-45,IYW,,- 'MXIM',,,,
NAVI,Navient,Financials,^SP500-40,IYF,,- 'NAVI',,,,
NCLH,Norwegian Cruise Line,Consumer Discretionary,^SP500-25,XLY,,- 'NCLH',,,,
NDAQ,"Nasdaq, Inc.",Financials,^SP500-40,IYF,,- 'NDAQ',,,,
NEE,NextEra Energy,Utilities,^SP500-55,IDU,,- 'NEE',,,,
NEM,Newmont Mining Corporation,Materials,^SP500-15,IYM,,- 'NEM',,,,
NFLX,Netflix,Communication Services,^SP500-50,IYZ,,- 'NFLX',,,,
NI,NiSource Inc.,Utilities,^SP500-55,IDU,,- 'NI',,,,
